rule_type,pattern,required_terms
keyword,DEPOSIT-OSKO PAYMENT,
keyword,OSKO DEPOSIT,
keyword,OSKO PAYMENT TRANSFERRED FROM,
keyword,OSKO PAYMENT FROM,
keyword,IBANK TRF TRANSFERRED FROM,
keyword,SCT DEPOSIT,
keyword,PAYMENT FROM,
keyword,DIRECT CREDIT,
keyword,INTER-BANK CREDIT,
keyword,ATM DEPOSIT,
keyword,CREDIT INTEREST,
keyword,BPAY RET,
keyword,DEPOSIT DEPOP,
keyword,WESTPAC ONLINE BANKING From,
keyword,FUNDS RETURNED FOR,
keyword,BANK AT POST DEPOSIT,
keyword,VISA DEPOSIT,
keyword,INTL PAYMENT FROM,
keyword,BONUS INTEREST,
keyword,BANK SYSTEM ERROR,
keyword,BETTER BANKING PAYMENT,
keyword,APPLE.COM/BILL,
keyword,TRANSFER FROM CARESUPER,
keyword,TRANSFER FROM MINTO,
keyword,MARKETPLACE PTY,
keyword,HEARTLAND ASF,
keyword,METWAY BAN/,
keyword,- DEPOSIT - RECEIPT,
keyword,- OSKO PAYMENT - RECEIPT,
keyword,INTEREST PAID,
keyword,OSKO PAYMENT RECEIVED / FOOD,
keyword,DEPOSIT INTL,
keyword,DEPOSIT CONVERA UK LTD,
