engine_id,application_id,transaction_id,finv_category,counterparty,classification_rule_id,classification_reason,stream_id,priority
initial,2420589,2755538076,Automotive,ATLAS SAWYERS SAWYERS VALLE,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=ATLAS SAWYERS SAWYERS VALLE, merchant=ATLAS SAWYERS SAWYERS VALLE",,1
initial,2420589,2755537885,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537654,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537997,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755537777,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755537692,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755537952,Retail,THINGZ GIFTS MIDLAND G HIGH WYCOMBE,merchant_kb_match,"category=Retail; rule=merchant_kb_match; evidence=keyword=THINGZ GIFTS NORTHAM, merchant=THINGZ GIFTS MIDLAND G HIGH WYCOMBE",,1
initial,2420589,2755538362,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537543,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537946,Groceries,7-ELEVEN STORES PTY LTD,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=7 ELEVEN, merchant=7-ELEVEN STORES PTY LTD",,1
initial,2420589,2755538160,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537578,Groceries,Foodworks Dalwallinu,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=DALWALLINU FOODWORKS, merchant=Foodworks Dalwallinu",,1
initial,2420589,2755537738,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537630,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755537582,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537944,Automotive,DUNNINGS GOOMALLING GOOMALLING,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS GOOMALLING GOOMALLING, merchant=DUNNINGS GOOMALLING GOOMALLING",,1
initial,2420589,2755537947,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755537793,Subscription TV,Netflix,merchant_kb_match,"category=Subscription TV; rule=merchant_kb_match; evidence=keyword=NETFLIX COM, merchant=Netflix",,1
initial,2420589,2755537967,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537761,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538327,Dining Out,Hungry Birds Pizza,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=HUNGRY BIRDS PIZZA, merchant=Hungry Birds Pizza",,1
initial,2420589,2755538210,Groceries,IGA,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=IGA, merchant=IGA",,1
initial,2420589,2755537576,Dining Out,Subway,merchant_kb_match,"category=Dining Out; rule=merchant_kb_match; evidence=keyword=SUBWAY, merchant=Subway",,1
initial,2420589,2755537550,Automotive,DUNNINGS TOODYAY JUN TOODYAY,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=DUNNINGS TOODYAY JUN TOODYAY, merchant=DUNNINGS TOODYAY JUN TOODYAY",,1
initial,2420589,2755538364,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538043,Automotive,Great Southern Fuels,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=GREAT SOUTHERN FUELS NORTHAM, merchant=Great Southern Fuels",,1
initial,2420589,2755537826,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538134,Automotive,Puma York Roadhouse,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=PUMA YORK ROADHOUSE, merchant=Puma York Roadhouse",,1
initial,2420589,2755538061,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755537755,Groceries,WOOLWORTHS GROUP LIMITED,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=WOOLWORTHS, merchant=WOOLWORTHS GROUP LIMITED",,1
initial,2420589,2755538005,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755538027,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
initial,2420589,2755538006,Groceries,Coles,merchant_kb_match,"category=Groceries; rule=merchant_kb_match; evidence=keyword=COLES, merchant=Coles",,1
initial,2420589,2755537549,Automotive,TRANSFER TO,merchant_kb_match,"category=Automotive; rule=merchant_kb_match; evidence=keyword=TRANSFER TO, merchant=TRANSFER TO",,1
