application_id,bank_account_id,finv_category,stream_id,funded_amount,repaid_amount,repayment_amount,recent_fn_repay_amount
2420589,4689355,Non SACC Loans,bnpl_002,0.0,750.48,,0.0
2420589,4689355,Non SACC Loans,bnpl_001,0.0,682.28,37.25,27.27
2420589,4689355,Non SACC Loans,wage_advance_004,12000.0,12716.71,1271.04,60.0
2420589,4689355,Non SACC Loans,wage_advance_002,6540.0,6921.13,,
2420589,4689355,Non SACC Loans,wage_advance_001,4350.0,4777.5,262.5,37.5
2420589,4689355,Non SACC Loans,wage_advance_003,0.0,17013.94,1134.27,
2420589,4689355,Dishonours,wage_advance_003,0.0,0.0,,
2420589,4689355,Dishonours,wage_advance_001,0.0,0.0,,
2420589,4689355,Non SACC Loans,non_sacc_001,0.0,10257.0,789.0,789.0
2420589,4689355,Non SACC Loans,contract_loan_001,0.0,297.8,,0.0
2420589,4689355,SACC Loans,sacc_001,1000.0,1320.0,,0.0
2420589,4689355,SACC Loans,sacc_002,500.0,105.72,52.86,52.86
2420589,4689355,Non SACC Loans,loc_001,2308.45,337.92,84.48,84.48
2420589,4689355,Dishonours,contract_loan_001,0.0,0.0,,0.0
2420589,4689355,Unknown Loans,unknown_001,0.0,1177.28,90.56,90.56
2420589,4689355,Unknown Loans,unknown_002,0.0,311.11,,0.0
