rule_name,category,pattern,match_type,confidence
auto_repair_automotive,Automotive,AUTO REPAIR,keyword,0.9
automotive_automotive,Automotive,AUTOMOTIVE,keyword,0.9
smash_repair_automotive,Automotive,SMASH REPAIR,keyword,0.90
auto_care_automotive,Automotive,AUTO CARE,keyword,0.85
auto_electrics_automotive,Automotive,AUTO ELECTRICS,keyword,0.85
auto_parts_automotive,Automotive,AUTO PARTS,keyword,0.85
auto_service_automotive,Automotive,AUTO SERVICE,keyword,0.85
car_care_automotive,Automotive,CAR CARE,keyword,0.85
car_detail_automotive,Automotive,CAR DETAIL,keyword,0.85
car_repair_automotive,Automotive,CAR REPAIR,keyword,0.85
car_wash_automotive,Automotive,CAR WASH,keyword,0.85
carwash_automotive,Automotive,CARWASH,keyword,0.85
mechanic_automotive,Automotive,MECHANIC,keyword,0.85
mechanical_automotive,Automotive,MECHANICAL,keyword,0.85
panel_beating_automotive,Automotive,PANEL BEAT,keyword,0.85
parking_automotive,Automotive,PARKING,keyword,0.85
roadworthy_automotive,Automotive,ROADWORTHY,keyword,0.85
service_station_automotive,Automotive,SERVICE STATION,keyword,0.85
towing_automotive,Automotive,TOWING,keyword,0.85
tyre_automotive,Automotive,TYRE,keyword,0.85
windscreen_automotive,Automotive,WINDSCREEN,keyword,0.85
wrecker_automotive,Automotive,WRECKER,keyword,0.85
auto_automotive,Automotive,AUTO,keyword,0.8
carpark_automotive,Automotive,CARPARK,keyword,0.8
exhaust_automotive,Automotive,EXHAUST,keyword,0.8
motor_group_automotive,Automotive,MOTOR GROUP,keyword,0.8
motorcycle_automotive,Automotive,MOTORCYCLE,keyword,0.8
motors_automotive,Automotive,MOTORS,keyword,0.8
petrol_automotive,Automotive,PETROL,keyword,0.8
spares_automotive,Automotive,SPARES,keyword,0.8
vehicle_automotive,Automotive,VEHICLE,keyword,0.8
brake_automotive,Automotive,BRAKE,keyword,0.75
car_spa_automotive,Automotive,CAR SPA,keyword,0.75
fuel_automotive,Automotive,FUEL,keyword,0.75
parts_automotive,Automotive,PARTS,keyword,0.75
batteries_automotive,Automotive,BATTERIES,keyword,0.7
rego_automotive,Automotive,REGO,keyword,0.7
department_store_retail,Department Stores,DEPARTMENT STORE,keyword,0.85
fast_food_dining,Dining Out,FAST FOOD,keyword,0.9
restaurant_dining,Dining Out,RESTAURANT,keyword,0.9
bakehouse_dining,Dining Out,BAKEHOUSE,keyword,0.85
