rule_type,pattern,required_terms
keyword,REVERSAL CREDIT REVERSAL,
keyword,DIRECT DEBIT DISHONOURED,
keyword,Direct Debit Dishonour,
keyword,Unpaid Payment Fee,
keyword,Reversal - Direct Debit - Receipt,
keyword,FailPay,
keyword,DISHONOUR FEE,
keyword,REVERSAL OF PAYMENT,
keyword,DISHONOURED ITEM,
keyword,Dishonour of a payment,
keyword,Loan Pymt Dishonour,
keyword,Loan Payment Dishonour,
regex,^Return\s+\d{2}/\d{2}/\d{2}\s+Direct Debit\b,
regex,^Return\s+\d{2}/\d{2}/\d{2}\s+Loan Repayment LN REPAY\b,Return;Loan Repayment LN REPAY
