priority,rule_name,category,pattern,counterparty,match_type,zero_amount_reject,description,unclassified_only,dr_cr
0,honour_overdrawn_fee,Overdrawn,^HONOUR/OVERDRAWN\s+FEE,Overdrawn Fee,regex,false,HONOUR/OVERDRAWN FEE,false,
1,overlimit_fee,Overdrawn,^OVERLIMIT\s+FEE,Overlimit Fee,regex,false,OVERLIMIT FEE,false,
2,overdrawn_fee,Overdrawn,^Overdrawn\s+Fee,Overdrawn Fee,regex,false,Overdrawn Fee,false,
3,overdraft_usage_fee,Overdrawn,^Overdraft\s+Usage\s+Fee,Overdraft Usage Fee,regex,false,Overdraft Usage Fee,false,
4,overdraw_fee,Overdrawn,^Overdraw\s+Fee\s+,Overdrawn Fee,regex,false,Overdraw Fee For exceeding available funds,false,
5,overdrawn_fee_date,Overdrawn,"^OVERDRAWN\s+FEE\s+\d{1,2}-",Overdrawn Fee,regex,false,"OVERDRAWN FEE with date (re-added, was malformed unquoted comma)",false,
6,debit_excess_interest,Overdrawn,^Debit\s+Excess\s+Interest$,Overdrawn Fee,regex,false,Debit Excess Interest,false,
7,debit_excess_int_adjusted,Overdrawn,^Debit\s+Excess\s+Int\s+Adjusted\s+Value\s+Date:\s+\d{2}/\d{2}/\d{4},Overdrawn Fee,regex,false,Debit Excess Int Adjusted,false,
8,cash_withdrawal_fee,fee,^Cash\s+Withdrawal\s+Fee,Cash Withdrawal Fee,regex,false,"Cash Withdrawal Fee e.g. ""Cash Withdrawal Fee-AUD 3.50""",false,
9,account_keeping_fee,fee,^ACCOUNT-KEEPING\s+FEE,Account Keeping Fee,regex,false,ACCOUNT-KEEPING FEE,false,
10,intl_txn_fee_standard,fee,(?:^FEES\s+)?V\d{4}\s+\d{2}/\d{2}\s+INTL\s+TXN\s+FEE-(MC|SC),International Transaction Fee,regex,false,FEES V2965 02/05 INTL TXN FEE-MC,false,
11,intl_txn_fee_reversal,fee,^MISCELLANEOUS\s+CREDIT\s+V\d{4}\s+\d{2}/\d{2}\s+INTL\s+TXN\s+FEE\s+REV-(MC|SC)\s+\d+$,International Transaction Fee Refund,regex,false,INTL TXN FEE reversal,false,
12,account_fee_bare,fee,^Account\s+Fee\b,Account Fee,regex,false,Account Fee (bare),false,
