rule_name,category,pattern,match_type,confidence,counterparty,source
pokies_gambling,Gambling,POKIES,keyword,0.90,,rule
wagering_gambling,Gambling,WAGERING,keyword,0.90,,rule
art_union_gambling,Gambling,ART UNION,keyword,0.85,,rule
betting_gambling,Gambling,BETTING,keyword,0.85,,rule
greyhound_racing_gambling,Gambling,GREYHOUND RACING,keyword,0.85,,rule
harness_racing_gambling,Gambling,HARNESS RACING,keyword,0.85,,rule
keno_gambling,Gambling,KENO,keyword,0.85,,rule
lottery_gambling,Gambling,LOTTERY,keyword,0.85,,rule
lotto_gambling,Gambling,LOTTO,keyword,0.85,,rule
slots_gambling,Gambling,SLOTS,keyword,0.85,,rule
turf_club_gambling,Gambling,TURF CLUB,keyword,0.85,,rule
jockey_club_gambling,Gambling,JOCKEY CLUB,keyword,0.8,,rule
poker_gambling,Gambling,POKER,keyword,0.8,,rule
racing_club_gambling,Gambling,RACING CLUB,keyword,0.8,,rule
bingo_gambling,Gambling,BINGO,keyword,0.75,,rule
casino_gambling,Gambling,CASINO,keyword,0.7,,rule
Clicktrot Tema,Gambling,CLICKTROT TEMA,keyword,0.95,Clicktrot Tema,institution
VEGASTARSCOM NICOSIA,Gambling,VEGASTARSCOM NICOSIA,keyword,0.95,VEGASTARSCOM NICOSIA,institution
Bingo Cash,Gambling,BINGO CASH|APPLE PAY VISA BINGO CASH|BINGO CASH USFRGN|BINGO CASH BINGO CASH NEW YORK|BINGO CASH MO USA USD|BINGO CASH MO USA|BINGO CASH NEW YORK NY USA USD|BINGO CASH NEW YORK NY USA|BINGO CASH NEW YORK USA FRGN AMT|BINGO CASH NEW YORK USA FRGN AMT U S DOLLAR,keyword,0.95,Bingo Cash,institution
Penrith Rugby League Club,Gambling,PENRITH RUGBY LEAGUE|PENRITH RUGBY LEAGUE CLUB,keyword,0.95,Penrith Rugby League Club,institution
The Palms Bingo,Gambling,THE PALMS BINGO,keyword,0.95,The Palms Bingo,institution
ATW Club Caloundra,Gambling,ATW CLUB CALOUNDRA,keyword,0.95,ATW Club Caloundra,institution
Palmer Bookmaking Pty Ltd,Gambling,PALMER BOOKMAKING|PALMER BOOKMAKING PTY LTD,keyword,0.95,Palmer Bookmaking Pty Ltd,institution
The Star Gold Coast,Gambling,THE STAR ENTERTAINMENT|THE STAR GOLD COAST,keyword,0.95,The Star Gold Coast,institution
Joondalup Lottery Centre,Gambling,JOONDALUP LOTTERY CENTRE|JOONDALUP LOTTERY CTR,keyword,0.95,Joondalup Lottery Centre,institution
Lilydale Market Lotto & News,Gambling,LILYDALE MARKET LOTTO NEWS,keyword,0.95,Lilydale Market Lotto & News,institution
Crown Melbourne,Gambling,CROWN MELBOURNE LIMITED|CROWN MELBOURNE,keyword,0.95,Crown Melbourne,institution
Northern Suburbs Leagues Club,Gambling,NORTHERN SUBURBS LEAGUES|NORTHERN SUBURBS LEAGUES CLUB,keyword,0.95,Northern Suburbs Leagues Club,institution
The Star Brisbane,Gambling,THE STAR BRISBANE,keyword,0.95,The Star Brisbane,institution
Media Lottery Centre,Gambling,MEDIA LOTTERY CENTRE,keyword,0.95,Media Lottery Centre,institution
Queanbeyan RSL Memorial Club,Gambling,QUEANBEYAN R S L MEMORIAL|QUEANBEYAN RSL MEMORIAL CLUB,keyword,0.95,Queanbeyan RSL Memorial Club,institution
Moonee Valley Racing Club,Gambling,MOONEE VALLEY RACING CLUB|MOONEE VALLEY RACING CLUB MOONEE VALLEY RAC MOONEE PONDS,keyword,0.95,Moonee Valley Racing Club,institution
Campbelltown Catholic Club,Gambling,CAMPBELLTOWN CATHOLIC|CAMPBELLTOWN CATHOLIC CLUB,keyword,0.95,Campbelltown Catholic Club,institution
Jackpot Lottery Centre Mirrabooka,Gambling,JACKPOT LOTTERY CENTRE MIRRABOOKA,keyword,0.95,Jackpot Lottery Centre Mirrabooka,institution
Rockhampton Leagues Club,Gambling,ROCKHAMPTON LEAGUES CL|ROCKHAMPTON LEAGUES CLUB|ROCKHAMPTON LEAGUES,keyword,0.95,Rockhampton Leagues Club,institution
Shepparton Plaza Lotto,Gambling,SHEPPARTON PLAZA LOTTO|SHEPPARTON PLAZA LOTTO SHEPPARTON VI,keyword,0.95,Shepparton Plaza Lotto,institution
TSG Jerrabomberra,Gambling,TSG JERRABOMBERRA,keyword,0.95,TSG Jerrabomberra,institution
Ballarto Road News & Lotto,Gambling,BALLARTO ROAD NEWS LOTTO|BALLARTOROAD NEWSLOTTO,keyword,0.95,Ballarto Road News & Lotto,institution
Caboolture Workers' Club,Gambling,CABOOLTURE WORKERS CLUB,keyword,0.95,Caboolture Workers' Club,institution
Murrumbidgee Turf Club,Gambling,MURRUMBIDGEE TURF CLU|MURRUMBIDGEE TURF CLUB|SQ MURRUMBIDGEE TURF CLU,keyword,0.95,Murrumbidgee Turf Club,institution
Wendouree Lotto Agency,Gambling,WENDOUREE LOTTO AGENCY,keyword,0.95,Wendouree Lotto Agency,institution
Junction Lucky Lotto & News,Gambling,JUNCTION LUCKY LOTTO NEWS,keyword,0.95,Junction Lucky Lotto & News,institution
SKYCROWN COM,Gambling,SKYCROWN COM,keyword,0.95,SKYCROWN COM,institution
Springvale White Eagle Club,Gambling,SPRINGVALE WHITE EAGLE CLUB,keyword,0.95,Springvale White Eagle Club,institution
Victoria Amateur Turf Club,Gambling,VICTORIA AMATEUR TURF|VICTORIA AMATEUR TURF CLUB|VICTORIA AMATEUR TURF CAROLINE SPRI|VICTORIA AMATEUR TURF CAULFIELD EAS VI|VICTORIA AMATEUR TURF CLU|VICTORIA AMATEUR TURF FOOTSCRAY|VICTORIA AMATEUR TURF MULGRAVE|VICTORIA AMATEUR TURF POINT COOK,keyword,0.95,Victoria Amateur Turf Club,institution
Murray Bridge Racing Club,Gambling,MURRAY BRIDGE RACING CLUB,keyword,0.95,Murray Bridge Racing Club,institution
Rockingham Central Lotto,Gambling,ROCKINGHAM CNTRL LOTTO|ROCKINGHAM CENTRAL LOTTO,keyword,0.95,Rockingham Central Lotto,institution
Summerfield News & Lotto,Gambling,SUMMERFIELD NEWS LOTTO,keyword,0.95,Summerfield News & Lotto,institution
Mirrabooka Lottery Centre,Gambling,MIRRABOOKA LOTTERY CNT|MIRRABOOKA LOTTERY CENTRE,keyword,0.95,Mirrabooka Lottery Centre,institution
Rockhampton Jockey Club,Gambling,ROCKHAMPTON JOCKEY|ROCKHAMPTON JOCKEY CLUB,keyword,0.95,Rockhampton Jockey Club,institution
Flagstaff News and Lotto,Gambling,FLAGSTAFF NEWS AND LOTTO,keyword,0.95,Flagstaff News and Lotto,institution
Full Hand Lottery Centre,Gambling,FULL HAND LOTTERY CENTRE|FULL HAND LOTTERY CENTRE KARRINYU,keyword,0.95,Full Hand Lottery Centre,institution
Mindil Beach Casino and The Garden,Gambling,MINDIL BEACH CASINO AND RTHE GARDEN|MINDIL BEACH CASINO AND THE GARDEN,keyword,0.95,Mindil Beach Casino and The Garden,institution
Brisbane Greyhound Racing Club,Gambling,BRISBANE GREYHOUND RACINGALBION|BRISBANE GREYHOUND RACING CLUB,keyword,0.95,Brisbane Greyhound Racing Club,institution
Greyhounds Entertainment,Gambling,GREYHOUNDS ENTERTAIN|GREYHOUNDS ENTERTAINMENT,keyword,0.95,Greyhounds Entertainment,institution
Cranbourne Park Lotto,Gambling,CRANBOURNE PARK LOTTO|CRANBOURNE PARK LOTTO CRANBOURNE VI,keyword,0.95,Cranbourne Park Lotto,institution
Mornington News & Lotto,Gambling,MORNINGTON NEWS LOTTO,keyword,0.95,Mornington News & Lotto,institution
Club Central Hurstville,Gambling,CLUB CENTRAL HURSTVILLE,keyword,0.95,Club Central Hurstville,institution
Warrnambool Greyhound Racing Club,Gambling,WARRNAMBOOL GREYHOUND RACING CLUB,keyword,0.95,Warrnambool Greyhound Racing Club,institution
