pattern_group,pattern,match_type,description
strong_wage,\bSALARY\b,regex,Explicit SALARY mention
strong_wage,\bPAYROLL\b,regex,Explicit PAYROLL mention
strong_wage,\bPAY\s*ROLL\b,regex,PAY ROLL variant
strong_wage,\bWAGES?\b,regex,WAGE or WAGES
strong_wage,\bPAYSLIP\b,regex,PAYSLIP mention
strong_wage,\bPAYRUN\b,regex,PAYRUN mention
strong_wage,\bEMPLOYER\b,regex,EMPLOYER mention
strong_wage,\bSTAFF\s*PAY\b,regex,STAFF PAY
strong_wage,\bEFT\s*SALARY\b,regex,EFT SALARY
strong_wage,\bDEPOSIT\s*SALARY\b,regex,DEPOSIT SALARY
strong_wage,\bHUMANFORCE\b,regex,Humanforce payroll platform deposit
strong_wage,\bTHRIVE\s*PAY\b,regex,Humanforce Thrive Pay earnings deposit
strong_wage,\bPAY\s*INCOME\b,regex,PAY INCOME payroll text
strong_wage,\bPAY\s*CHEQUE\b,regex,PAY CHEQUE transfer payroll
strong_wage,\bWEEKLY\s*PAY\b,regex,WEEKLY PAY transfer payroll
strong_wage,\bFAST\s*PYMT\s*IN\b,regex,CBA FAST PYMT IN payroll deposit
strong_wage,\bPAY\s*CREDIT\b,regex,PAY CREDIT payroll text
medium_income,\bDIRECT\s*CREDIT\b,regex,DIRECT CREDIT
medium_income,\bDIR\s*CREDIT\b,regex,DIR CREDIT
medium_income,\bDEPOSIT[-\s]*SALARY\b,regex,DEPOSIT-SALARY
medium_income,\bEFT\s*DEP\b,regex,EFT DEP
medium_income,\bDIRECT\s*DEP(?:OSIT)?\b,regex,DIRECT DEP/DEPOSIT
repeat_employer_like,\bPAY\-PACK\b,regex,PAY-PACK
repeat_employer_like,\bINTER[-\s]*BANK\s*CREDIT\b,regex,INTER-BANK CREDIT
repeat_employer_like,\bPAY\s+FOR\b,regex,PAY FOR
repeat_employer_like,\bDEPOSIT\s+ONLINE\b.*\bPYMT\b,regex,DEPOSIT ONLINE ... PYMT
repeat_employer_like,\bDEPOSIT\b.*\bPAY\b,regex,DEPOSIT ... PAY
repeat_employer_like_exclusion,\bREPAYMENT\b,regex,REPAYMENT exclusion
repeat_employer_like_exclusion,\bPAYPAL\b,regex,PAYPAL exclusion
repeat_employer_like_exclusion,\bJOB\s*SEEKER\b,regex,JOB SEEKER exclusion
repeat_employer_like_exclusion,\bJOBSEEKER\b,regex,JOBSEEKER exclusion
repeat_employer_like_exclusion,\bFAMILY\s*PAYMENT\b,regex,FAMILY PAYMENT exclusion
repeat_employer_like_exclusion,\bMAXXIA\b,regex,MAXXIA exclusion
repeat_employer_like_exclusion,\bCLAIMS?\b,regex,CLAIM/CLAIMS exclusion
repeat_employer_like_exclusion,\bMERCHANT\s*SETTLEMENT\b,regex,MERCHANT SETTLEMENT exclusion
repeat_employer_like_exclusion,\bDISBURSEMENT\b,regex,DISBURSEMENT exclusion
repeat_employer_like_exclusion,\bINVEST(?:MENT)?\b,regex,INVEST/INVESTMENT exclusion
salary_packaging,\bSALARY\s*PACKAGING\b,regex,SALARY PACKAGING
salary_packaging,\bSALARY\s*PACKAGE\b,regex,SALARY PACKAGE
salary_packaging,\bACCESS\s*PAY\b,regex,ACCESS PAY
salary_packaging,\bACCESSPAY\b,regex,ACCESSPAY
salary_packaging,\bSALARY\s*SACRIFICE\b,regex,SALARY SACRIFICE
salary_packaging,\bEMPLOYER\s*BENEFIT\b,regex,EMPLOYER BENEFIT
centrelink,\bCENTRE\s*LINK\b,regex,CENTRE LINK variant
centrelink,\bCENTRELINK\b,regex,CENTRELINK
centrelink,\bCTRLINK\b,regex,CTRLINK abbreviation
centrelink,\bCTR\s*LINK\b,regex,CTR LINK variant
centrelink,\bSERVICES\s*AUSTRALIA\b,regex,SERVICES AUSTRALIA
centrelink,\bAUS\s*GOV\b,regex,AUS GOV
centrelink,\bAUSTRALIAN\s*GOV(?:ERNMENT)?\b,regex,AUSTRALIAN GOVERNMENT
centrelink,\bFAMILY\s*ALLOWANCE\b,regex,FAMILY ALLOWANCE
centrelink,\bFAMILY\s*PAYMENT\b,regex,FAMILY PAYMENT
centrelink,\bPENSION\b,regex,PENSION
centrelink,\bYOUTH\s*ALLOWANCE\b,regex,YOUTH ALLOWANCE
