priority,account_type,dr_cr,bank,match_type,keyword,min_prefix_len,counterparty,product_type
80,-,debit,*,prefix,AMERICAN EXPRESS,13,American Express Credit Card Repayment,bank
80,-,debit,*,prefix,BPAY DAVID JONES,13,American Express Credit Card Repayment,bank
80,-,debit,*,prefix,DAVID JONES AMEX,13,American Express Credit Card Repayment,bank
80,-,debit,*,prefix,DAVID JONES CARD,13,American Express Credit Card Repayment,bank
80,-,debit,*,prefix,DAVID JONES LIMITED,16,American Express Credit Card Repayment,bank
80,savings,debit,*,prefix,AMERICAN EXPRESS,13,American Express Credit Card Repayment,bank
80,savings,debit,*,prefix,BPAY DAVID JONE,12,American Express Credit Card Repayment,bank
80,savings,debit,*,prefix,DAVID JONES AMEX,13,American Express Credit Card Repayment,bank
80,savings,debit,*,prefix,DAVID JONES CARD,13,American Express Credit Card Repayment,bank
80,savings,debit,*,prefix,DAVID JONES LIMITED,16,American Express Credit Card Repayment,bank
80,transaction,debit,*,prefix,AMERICAN EXPRESS,13,American Express Credit Card Repayment,bank
80,transaction,debit,*,prefix,AMERICAN EXPRESS COMMBANK APP BPAY,31,American Express Credit Card Repayment,bank
80,transaction,debit,*,prefix,BPAY DAVID JONE,12,American Express Credit Card Repayment,bank
80,transaction,debit,*,prefix,DAVID JONES AMEX,13,American Express Credit Card Repayment,bank
80,transaction,debit,*,prefix,DAVID JONES CARD,13,American Express Credit Card Repayment,bank
80,transaction,debit,*,prefix,DAVID JONES LIMITED,16,American Express Credit Card Repayment,bank
90,-,debit,*,keyword,AMEX,0,American Express Credit Card Repayment,bank
90,savings,debit,*,keyword,AMEX,0,American Express Credit Card Repayment,bank
90,transaction,debit,*,keyword,AMEX,0,American Express Credit Card Repayment,bank
70,-,debit,*,regex,^ANZ INTERNET BANKING BPAY ANZ CARDS ?\{\d{6}\}$,0,ANZ Credit Card Repayment,bank
70,transaction,debit,*,regex,^ANZ INTERNET BANKING BPAY ANZ CARDS ?\{\d{6}\}$,0,ANZ Credit Card Repayment,bank
90,-,*,*,keyword,ANZ CARD,0,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ CARDS,8,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ MASTERCARD,10,ANZ Credit Card Repayment,bank
90,savings,*,*,keyword,ANZ CARD,0,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ CARDS,8,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ MASTERCARD,10,ANZ Credit Card Repayment,bank
90,transaction,*,*,keyword,ANZ CARD,0,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ CARDS,8,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ MASTERCARD,10,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CREDIT CARD PAYMENT INTERNET PAYMENT,0,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ (CREDIT CARDS),15,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ BANKING GROUP,14,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ CREDIT CARD,12,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ CREDIT CARD CASH ADVANCE T,27,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ LOAN REDRAW,12,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ LOAN REPAYMENT,15,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ MOBILE BANKING PAYMENT,23,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,ANZ VISA CARD,10,ANZ Credit Card Repayment,bank
80,-,*,*,prefix,PAYMENT TO ANZ,11,ANZ Credit Card Repayment,bank
80,home loan,credit,*,prefix,ANZ CREDIT CARD,12,ANZ Credit Card Repayment,bank
80,investments,credit,*,prefix,ANZ CREDIT CARD,12,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ (CREDIT CARDS),15,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ BANKING GROUP,14,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ CREDIT CARD,12,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ CREDIT CARD CASH ADVANCE T,27,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ LOAN REDRAW,12,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ LOAN REPAYMENT,15,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ MOBILE BANKING PAYMENT,23,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,ANZ VISA CARD,10,ANZ Credit Card Repayment,bank
80,savings,*,*,prefix,PAYMENT TO ANZ,11,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ (CREDIT CARDS),15,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ BANKING GROUP,14,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ CREDIT CARD,12,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ CREDIT CARD CASH ADVANCE T,27,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ LOAN REDRAW,12,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ LOAN REPAYMENT,15,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ MOBILE BANKING PAYMENT,23,ANZ Credit Card Repayment,bank
90,transaction,*,*,keyword,ANZ VISA,0,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,ANZ VISA CARD,10,ANZ Credit Card Repayment,bank
80,transaction,*,*,prefix,PAYMENT TO ANZ,11,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,BPAY PAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CARD PAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CASH THANK YOU,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CC PAY,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CC PAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CC REPAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,CREDIT CARD PAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,EASIPAY PAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,INTERNET PAYMENT,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,LINKED ACC TRNS,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,LINKED ACCOUNT TRANSFER,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT - BPAY,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT - THANK YOU,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT RECEIVED,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT THANK YOU,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT THANKYOU,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT- CHEQUE THANK YOU,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,PAYMENT-BPAY-THANK YOU,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,TFR FROM,0,ANZ Credit Card Repayment,bank
90,credit card,credit,anz,keyword,TRANSFER FROM,0,ANZ Credit Card Repayment,bank
80,-,debit,anz,prefix,LOAN PAYMENT,9,ANZ Loans,contract_loan
80,personal loan,credit,anz,prefix,LOAN PAYMENT,9,ANZ Loans,contract_loan
80,*,*,*,prefix,BANKSA CARDS,8,BANKSA Credit Card Repayment,bank
70,-,credit,bankwest,regex,TRANSFER\s+(\d+)\s+FROM\s+(\d{3}-\d{3}-\d{3}),0,Bankwest Credit Card Repayment,bank
70,credit card,credit,bankwest,regex,TRANSFER\s+(\d+)\s+FROM\s+(\d{3}-\d{3}-\d{3}),0,Bankwest Credit Card Repayment,bank
80,-,credit,bankwest,prefix,BANKWEST CREDIT CARD,17,Bankwest Credit Card Repayment,bank
90,-,debit,bankwest,keyword,IB TRANSFER,0,Bankwest Credit Card Repayment,bank
80,credit card,debit,*,prefix,BANKWEST CREDIT CARD,17,Bankwest Credit Card Repayment,bank
90,home loan,debit,bankwest,keyword,IB TRANSFER,0,Bankwest Credit Card Repayment,bank
90,personal loan,debit,bankwest,keyword,IB TRANSFER,0,Bankwest Credit Card Repayment,bank
90,savings,debit,bankwest,keyword,IB TRANSFER,0,Bankwest Credit Card Repayment,bank
90,transaction,debit,bankwest,keyword,IB TRANSFER,0,Bankwest Credit Card Repayment,bank
90,-,*,*,keyword,BANKWEST,0,Bankwest Credit Card Repayment,bank
80,-,*,*,prefix,BANKWEST CREDIT CARD CASH ADVA,27,Bankwest Credit Card Repayment,bank
80,-,*,*,prefix,BANKWEST LOANS,11,Bankwest Credit Card Repayment,bank
90,-,*,*,keyword,BW QANTAS,0,Bankwest Credit Card Repayment,bank
80,investments,debit,*,prefix,BANKWEST CREDIT CARD,17,Bankwest Credit Card Repayment,bank
90,savings,debit,*,keyword,BANKWEST,0,Bankwest Credit Card Repayment,bank
90,transaction,*,*,keyword,BANKWEST,0,Bankwest Credit Card Repayment,bank
80,transaction,*,*,prefix,BANKWEST CREDIT CARD CASH ADVA,27,Bankwest Credit Card Repayment,bank
80,transaction,*,*,prefix,BANKWEST LOANS,11,Bankwest Credit Card Repayment,bank
90,transaction,*,*,keyword,BW QANTAS,0,Bankwest Credit Card Repayment,bank
80,*,*,*,prefix,BOM CARDS,8,BOM Credit Card Repayment,bank
70,credit card,credit,boq,regex,\d+\s+PAYMENT\s+IB2-\d+,0,BOQ Credit Card Repayment,bank
80,-,*,*,prefix,BOQ CARDS,8,BOQ Credit Card Repayment,bank
80,savings,*,*,prefix,BOQ CARDS,8,BOQ Credit Card Repayment,bank
80,transaction,*,*,prefix,BOQ CARDS,8,BOQ Credit Card Repayment,bank
80,-,*,*,prefix,BOQ VISA CARD,10,BOQ Credit Card Repayment,bank
80,transaction,*,*,prefix,BOQ VISA CARD,10,BOQ Credit Card Repayment,bank
90,savings,*,*,keyword,BOQ,0,BOQ Credit Card Repayment,bank
80,-,debit,*,prefix,BPAY WDL COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,-,debit,*,prefix,COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,credit card,debit,cba,prefix,COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,home loan,debit,*,prefix,COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,savings,credit,*,prefix,COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,savings,debit,*,prefix,COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,transaction,debit,*,prefix,BPAY WDL COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
80,transaction,debit,*,prefix,COMMONWEALTH CARDS,10,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CREDIT CARD PAYMENT INTERNET PAYMENT,0,CBA Credit Card Repayment,bank
80,credit card,debit,cba,prefix,AUTO PAYMENT - DECLINED,20,CBA Credit Card Repayment,bank
80,investments,credit,cba,prefix,"PAYMENT RECEIVED, THANK YOU",24,CBA Credit Card Repayment,bank
80,personal loan,credit,cba,prefix,"PAYMENT RECEIVED, THANK YOU",24,CBA Credit Card Repayment,bank
80,trading,credit,cba,prefix,"PAYMENT RECEIVED, THANK YOU",24,CBA Credit Card Repayment,bank
80,transaction,credit,cba,prefix,"PAYMENT RECEIVED, THANK YOU",24,CBA Credit Card Repayment,bank
80,-,credit,*,prefix,AUTO PAYMENT - THANK YOU,21,CBA Credit Card Repayment,bank
80,-,credit,*,prefix,"PAYMENT RECEIVED, THANK YOU",24,CBA Credit Card Repayment,bank
80,-,debit,*,prefix,AUTO PAYMENT - DECLINED,20,CBA Credit Card Repayment,bank
80,-,debit,*,prefix,COMMONWEALTH BANK (CREDIT CARDS),29,CBA Credit Card Repayment,bank
80,savings,credit,*,prefix,"PAYMENT RECEIVED, THANK YOU",24,CBA Credit Card Repayment,bank
80,transaction,debit,*,prefix,AUTO PAYMENT - DECLINED,20,CBA Credit Card Repayment,bank
90,transaction,debit,*,keyword,COMMONWEAL,0,CBA Credit Card Repayment,bank
80,transaction,debit,*,prefix,COMMONWEALTH BANK,14,CBA Credit Card Repayment,bank
80,transaction,debit,*,prefix,COMMONWEALTH BANK (CREDIT CARDS),29,CBA Credit Card Repayment,bank
80,transaction,debit,*,prefix,SCHEDULED PAYMENT TO A CBA ACCOUNT,31,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,BPAY PAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CARD PAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CASH THANK YOU,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CC PAY,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CC PAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CC REPAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,CREDIT CARD PAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,EASIPAY PAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,INTERNET PAYMENT,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,LINKED ACC TRNS,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,LINKED ACCOUNT TRANSFER,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT - BPAY,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT - THANK YOU,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT RECEIVED,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT THANK YOU,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT THANKYOU,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT- CHEQUE THANK YOU,0,CBA Credit Card Repayment,bank
90,credit card,credit,cba,keyword,PAYMENT-BPAY-THANK YOU,0,CBA Credit Card Repayment,bank
