counterparty,product_type,rule_id,match_type,keyword
Revenue NSW Debt,Debt Collection,DC_KW_001,keyword,revenuensw debt
State Debt Recovery,Debt Collection,DC_KW_002,keyword,state debt recovery
Credit Corp,Debt Collection,DC_KW_004,keyword,creditcorpgroup
InDebted,Debt Collection,DC_KW_005,keyword,indebted
Pioneer Credit,Debt Collection,DC_KW_006,keyword,pioneercredit
Pioneer Credit,Debt Collection,DC_KW_007,keyword,pioneer credit
Panthera Finance,Debt Collection,DC_KW_008,keyword,panthera finance
ARMA Group,Debt Collection,DC_KW_009,keyword,arma group
Recoveries Corp,Debt Collection,DC_KW_010,keyword,recoveries corp
Recoveries Corp,Debt Collection,DC_KW_011,keyword,recoveries corporation
PRA Australia,Debt Collection,DC_KW_012,keyword,pra australia
Complete Credit,Debt Collection,DC_KW_013,keyword,complete credit
Credit Solutions,Debt Collection,DC_KW_014,keyword,credit solutions
Collection House,Debt Collection,DC_KW_015,keyword,collection house
Francom Group,Debt Collection,DC_KW_016,keyword,francom
Probe Group,Debt Collection,DC_KW_017,keyword,probe
Australian Recoveries,Debt Collection,DC_KW_018,keyword,australian recoveries
Australian Debt Recovery,Debt Collection,DC_KW_019,keyword,australian debt recove
Lion Finance,Debt Collection,DC_KW_020,keyword,lion finance
Baycorp,Debt Collection,DC_KW_021,keyword,baycorp
Charter Mercantile,Debt Collection,DC_KW_022,keyword,charter merc
Strategic Collections,Debt Collection,DC_KW_023,keyword,strategic collections
Strategic Receivables,Debt Collection,DC_KW_024,keyword,strategic receivables
Stoneink,Debt Collection,DC_KW_025,keyword,stoneink
Standard8,Debt Collection,DC_KW_026,keyword,standard8
CCSG,Debt Collection,DC_KW_027,keyword,ccsg
CCS Sydney,Debt Collection,DC_KW_028,keyword,ccs sydney
CCS Direct Debit,Debt Collection,DC_KW_029,keyword,ccs direct debit
National Credit Management,Debt Collection,DC_KW_030,keyword,national credit
Aust Receivables,Debt Collection,DC_KW_031,keyword,aust receivables
AU Receivables,Debt Collection,DC_KW_032,keyword,au receivables
Australian Receivables,Debt Collection,DC_KW_033,keyword,australian receivables
TAS Collection,Debt Collection,DC_KW_034,keyword,tas collection
George Laurens,Debt Collection,DC_KW_035,keyword,george laurens
Solved Group,Debt Collection,DC_KW_036,keyword,solved group
Black Collections,Debt Collection,DC_KW_037,keyword,black collections
Intercoll Ledger,Debt Collection,DC_KW_038,keyword,intercoll ledger
Access Collections,Debt Collection,DC_KW_039,keyword,access collections
Access Mercantile,Debt Collection,DC_KW_040,keyword,access mercantile
State Mercantile,Debt Collection,DC_KW_041,keyword,state mercantile
National Mercantile,Debt Collection,DC_KW_042,keyword,national mercantile
Prushka Mercantile,Debt Collection,DC_KW_043,keyword,prushka mercantile
ARL,Debt Collection,DC_KW_044,keyword,arl
Just Budget,Debt Collection,DC_KW_045,keyword,just budget
Marshall Freeman,Debt Collection,DC_KW_046,keyword,marshall freeman
Betterway Financials,Debt Collection,DC_KW_047,keyword,betterwayfinancials
Betterway Financials,Debt Collection,DC_KW_048,keyword,betterway financials
Ampac Debt Recovery,Debt Collection,DC_KW_049,keyword,ampac debt recov
Ecollect,Debt Collection,DC_KW_050,keyword,ecollect
Bill Chaser,Debt Collection,DC_KW_051,keyword,bill chaser
Safe Debt Management,Debt Collection,DC_KW_052,keyword,safe debt management
Milton Graham,Debt Collection,DC_KW_053,keyword,milton graham
Credit Collect,Debt Collection,DC_KW_054,keyword,creditcollect
Debtworks,Debt Collection,DC_KW_055,keyword,debtworks
CCC Financial Solution,Debt Collection,DC_KW_056,keyword,ccc financial soluti
