keyword,counterparty,product_type,match_type
Revive Debt; REVIVEDEBT,Revive Financial,Debt Consolidation,keyword
Revive Financial; Revive Finance; Revive Financia L; Revive Payment; Revive Payments; Revive Payment Arrangement; Revive Payment Arrangements,Revive Financial,Debt Consolidation,keyword
PaymenttoRevive; Payment to Revive,Revive Financial,Debt Consolidation,keyword
Debt Fix Pty Ltd; Debt Fix; DebtFix; GLOBAL/DEBT FIX PTY LTD,Debt Fix,Debt Consolidation,keyword
ABC Debt Solutions; ABCDebtSolutions; ABC Debtsolution,ABC Debt Solutions,Debt Consolidation,keyword
Debt Negotiators; DebtNegotiators; Debt Negotiator,Debt Negotiators,Debt Consolidation,keyword
Debt Relief II DRS; Debt Relief,Debt Relief,Debt Consolidation,keyword
Debt Agreement,Debt Agreement,Debt Consolidation,keyword
Debt Busters; DebtBusters; Debt Buster,Debt Busters,Debt Consolidation,keyword
Debt Options Pty; Debt Options,Debt Options,Debt Consolidation,keyword
Debt Assist; Debt Assist Aust; Debt Assist Australia; Your Debt Assist,Debt Assist Australia,Debt Consolidation,keyword
Debtstroyer,Debtstroyer,Debt Consolidation,keyword
Safe Debt,Safe Debt,Debt Consolidation,keyword
H.P. Debt Soluti; HP Debt Soluti,H.P. Debt Solutions,Debt Consolidation,keyword
DCS Group Aust; DCS Group; DCSGroupAust,DCS Group Australia,Debt Consolidation,keyword
Complete Credit; Complete Credit Solut; Complete Cr Soln,Complete Credit,Debt Consolidation,keyword
Credit Repair AUS; Credit Repair AU; Credit Repair Austral; CRA,Credit Repair Australia,Debt Consolidation,keyword
Fox Syme; Fox Symes; Foxsymes; PNL ACF Fox Syme,Fox Symes,Debt Consolidation,keyword
DR Administration; DR Administratio; DR Administrati O; DR Admin Trust Accou,DR Administration,Debt Consolidation,keyword
Resolvr; Resolvr DRPS; Resolvr IA Trust,Resolvr,Debt Consolidation,keyword
Zai Way Forward; Way Forward Zai; Way Forward,Way Forward,Debt Consolidation,keyword
Mycashonline Way Forward,MyCashOnline Way Forward,Debt Consolidation,keyword
Chapter Two; ChapterTwo; Chapter Two Aus; Chapter Two Aust; ChapterTwoAus,Chapter Two Australia,Debt Consolidation,keyword
Repayment Plan RPN; Repayment Plan,Repayment Plan RPN,Debt Consolidation,keyword
CCS Sydney,CCS Sydney,Debt Consolidation,keyword
EZIDEBIT FINANCE,EziDebit Finance,Debt Consolidation,keyword
Real Credit Repairs; Real Credit Repairers; Real Credit Repair,Real Credit Repairers,Debt Consolidation,keyword
Enhanced Credit Repair,Enhanced Credit Repair,Debt Consolidation,keyword
Simple Debt Solutions,Simple Debt Solutions,Debt Consolidation,keyword
Debt Repayment; Debt Repayments; Debt Payment; Debt Payments; Debt Paymen; Debt Payme; Debt Recovery; Debt Consolidation; Debt Consolidate; Debt Consolidated; Debt Consolidat; Credit Repair; To Bankrupt; Bankrupt Estate; Bankruptcy; Insolvency; Official Assignee,Miscellaneous Debt Payments,Debt Consolidation,keyword
Debt Rescue; DebtRescue; Debt Rescue AU; Debt Rescue Australia,Debt Rescue,Debt Consolidation,keyword
Debt Free Australia; Debt Free Aus; DebtFreeAustralia,Debt Free Australia,Debt Consolidation,keyword
