rule_id,target_field,rule_name,match_scope,match_type,pattern,account_type,dr_cr,bank,amount_gt,priority,enabled
HL001,is_home_loan,Home Loan,text,keyword,home loan,*,*,*,,100,1
HL002,is_home_loan,HomeLoan,text,keyword,homeloan,*,*,*,,100,1
HL003,is_home_loan,Home_Loan,text,keyword,home_loan,*,*,*,,100,1
HL004,is_home_loan,HLoan,text,keyword,hloan,*,*,*,,100,1
HL005,is_home_loan,Mortgage,text,keyword,mortgage,*,*,*,,100,1
HL006,is_home_loan,Housing Loan,text,keyword,housing loan,*,*,*,,100,1
HL007,is_home_loan,Mortgage,text,keyword,mtge,*,*,*,,100,1
HL008,is_home_loan,Property Loan,text,keyword,property loan,*,*,*,,100,1
HL009,is_home_loan,Home loan account credit,all,always,,home loan,credit,*,0,100,1
CL001,is_car_loan,Car Loan,text,keyword,car loan,*,*,*,,100,1
CL002,is_car_loan,Auto Loan,text,keyword,auto loan,*,*,*,,100,1
CL003,is_car_loan,New Start Auto Loans,text_or_counterparty,regex,new\s*start\s*auto\s*loans,*,*,*,,90,1
CL004,is_car_loan,Auto Finance Loans,text_or_counterparty,regex,auto\s*finance\s*loans,*,*,*,,90,1
CL005,is_car_loan,Toyota Finance,text_or_counterparty,regex,toyota\s*finance,*,*,*,,90,1
CL006,is_car_loan,Volkswagen Financial,text_or_counterparty,regex,volkswagen\s*financial,*,*,*,,90,1
CL007,is_car_loan,BMW Finance,text_or_counterparty,regex,bmw\s*finance,*,*,*,,90,1
CL008,is_car_loan,Lexus Finance,text_or_counterparty,regex,lexus\s*finance,*,*,*,,90,1
CL009,is_car_loan,Nissan Finance,text_or_counterparty,regex,nissan\s*finance,*,*,*,,90,1
CL073,is_car_loan,Nissan Financial,text_or_counterparty,regex,nissan\s*financial,*,*,*,,90,1
CL010,is_car_loan,Mazda Finance,text_or_counterparty,regex,mazda\s*finance,*,*,*,,90,1
CL011,is_car_loan,Audi Finance,text_or_counterparty,regex,audi\s*finance,*,*,*,,90,1
CL012,is_car_loan,Suzuki Finance,text_or_counterparty,regex,suzuki\s*finance,*,*,*,,90,1
CL013,is_car_loan,Subaru Finance,text_or_counterparty,regex,subaru\s*finance,*,*,*,,90,1
CL014,is_car_loan,Mercedes-Benz Financial,text_or_counterparty,regex,mercedes[-\s]*benz(?:\s+financial)?(?:\s+services)?,*,*,*,,90,1
CL015,is_car_loan,Taurus Motor Finance,text_or_counterparty,regex,taurus\s*motor\s*finance,*,*,*,,90,1
CL016,is_car_loan,Green Light Auto Finance,text_or_counterparty,regex,green\s*light\s*auto\s*finance,*,*,*,,90,1
CL017,is_car_loan,Go Car Finance,text_or_counterparty,regex,go\s*car\s*finance,*,*,*,,90,1
CL018,is_car_loan,ANZ Asset Finance,text_or_counterparty,regex,anz\s*asset\s*finance,*,*,*,,90,1
CL019,is_car_loan,A1 Cars Finance,text_or_counterparty,regex,a1\s*cars\s*finance,*,*,*,,90,1
CL020,is_car_loan,Motor Trade Finance,text_or_counterparty,regex,motor\s*trade\s*finance,*,*,*,,90,1
CL021,is_car_loan,Cars On Terms,text_or_counterparty,regex,cars\s*on\s*terms,*,*,*,,90,1
CL022,is_car_loan,RACV Finance,text_or_counterparty,regex,racv\s*finance,*,*,*,,90,1
CL023,is_car_loan,RACQ Finance,text_or_counterparty,regex,racq\s*finance,*,*,*,,90,1
CL024,is_car_loan,Affordable Car Loans,text_or_counterparty,regex,affordable\s*car\s*loans,*,*,*,,90,1
HL010,is_home_loan,AFG Home Loans,text_or_counterparty,regex,afg\s*(?:home\s*loans|retro|bright|align|alpha|options),*,*,*,,90,1
HL011,is_home_loan,APS Home Loans,text_or_counterparty,regex,aps\s*home\s*loans,*,*,*,,90,1
HL012,is_home_loan,Advantedge,text_or_counterparty,regex,advantedge,*,*,*,,90,1
HL013,is_home_loan,Athena Home Loan,text_or_counterparty,regex,athena\s*home\s*loan,*,*,*,,90,1
HL014,is_home_loan,Aussie Home Loans,text_or_counterparty,regex,aussie\s*home\s*loans,*,*,*,,90,1
HL015,is_home_loan,Avanti Home Loans,text_or_counterparty,regex,avanti\s*home\s*loans,*,*,*,,90,1
HL016,is_home_loan,BC Invest,text_or_counterparty,regex,bc\s*invest,*,*,*,,90,1
HL017,is_home_loan,Better Choice Home Loans,text_or_counterparty,regex,better\s*choice\s*home\s*loans,*,*,*,,90,1
HL018,is_home_loan,Bluestone Australia,text_or_counterparty,regex,bluestone\s*australia,*,*,*,,90,1
HL019,is_home_loan,Brighten Home Loans,text_or_counterparty,regex,brighten\s*home\s*loans,*,*,*,,90,1
HL020,is_home_loan,Citibank Mortgage,text_or_counterparty,regex,citibank\s*mortgage,*,*,*,,90,1
HL021,is_home_loan,Columbus Capital,text_or_counterparty,regex,columbus\s*capital,*,*,*,,90,1
HL022,is_home_loan,Coogans Home Loans,text_or_counterparty,regex,coogans\s*home\s*loans,*,*,*,,90,1
HL023,is_home_loan,Finance One Home Loans,text_or_counterparty,regex,finance\s*one\s*home\s*loans,*,*,*,,90,1
HL024,is_home_loan,First Mortgage Company,text_or_counterparty,regex,first\s*mortgage\s*company,*,*,*,,90,1
HL025,is_home_loan,General Mortgage,text_or_counterparty,regex,general\s*mortgage,*,*,*,,90,1
HL026,is_home_loan,HomeStart Finance,text_or_counterparty,regex,homestart\s*finance,*,*,*,,90,1
HL027,is_home_loan,IBA Home Loans,text_or_counterparty,regex,iba\s*home\s*loans|indigenous\s*business\s*australia,*,*,*,,90,1
HL028,is_home_loan,Keystart Loans,text_or_counterparty,regex,keystart\s*loans,*,*,*,,90,1
HL029,is_home_loan,La Trobe Financial,text_or_counterparty,regex,la\s*trobe\s*financial,*,*,*,,90,1
HL030,is_home_loan,Liberty Home Loans,text_or_counterparty,regex,liberty\s*home\s*loans,*,*,*,,90,1
HL031,is_home_loan,Mortgage House Capital,text_or_counterparty,regex,mortgage\s*house\s*capital,*,*,*,,90,1
HL032,is_home_loan,Mutual Mortgage,text_or_counterparty,regex,mutual\s*mortgage,*,*,*,,90,1
HL033,is_home_loan,NZHL Loans,text_or_counterparty,regex,nzhl\s*loans,*,*,*,,90,1
HL034,is_home_loan,Pepper Home Loans,text_or_counterparty,regex,pepper\s*home\s*loans,*,*,*,,90,1
HL035,is_home_loan,RAMS Loans,text_or_counterparty,regex,rams\s*loans,*,*,*,,90,1
HL036,is_home_loan,Resimac,text_or_counterparty,regex,resimac,*,*,*,,90,1
HL037,is_home_loan,Squirrel Home Loans,text_or_counterparty,regex,squirrel\s*home\s*loans,*,*,*,,90,1
HL038,is_home_loan,Well Nigh,text_or_counterparty,regex,well\s*nigh,*,*,*,,90,1
CL025,is_car_loan,AHA Money Car Finance,text_or_counterparty,regex,aha\s*money\s*car\s*finance,*,*,*,,90,1
CL026,is_car_loan,APS Car Loans,text_or_counterparty,regex,aps\s*car\s*loans,*,*,*,,90,1
CL027,is_car_loan,Allied Credit,text_or_counterparty,regex,allied\s*credit,*,*,*,,90,1
CL028,is_car_loan,Allied Retail Finance,text_or_counterparty,regex,allied\s*retail\s*finance,*,*,*,,90,1
CL029,is_car_loan,Angle Auto Finance,text_or_counterparty,regex,angle\s*(?:finance|auto\s*finance),*,*,*,,90,1
CL030,is_car_loan,Aotea Car Loans,text_or_counterparty,regex,aotea\s*(?:car|vehicle)\s*loans,*,*,*,,90,1
CL031,is_car_loan,Astute Motor Finance,text_or_counterparty,regex,astute\s*motor\s*finance,*,*,*,,90,1
CL032,is_car_loan,Australian Motorcycle and Marine Finance,text_or_counterparty,regex,australian\s*motorcycle\s*and\s*marine\s*finance,*,*,*,,90,1
CL033,is_car_loan,Australian Premier Finance,text_or_counterparty,regex,australian\s*premier\s*finance,*,*,*,,90,1
CL034,is_car_loan,Auto Car Finance,text_or_counterparty,regex,auto\s*car\s*finance,*,*,*,,90,1
CL035,is_car_loan,Automotive Financial Services,text_or_counterparty,regex,automotive\s*financial\s*services,*,*,*,,90,1
CL036,is_car_loan,Autopay,text_or_counterparty,regex,autopay|moneyme\s*car\s*loans,*,*,*,,90,1
CL037,is_car_loan,Avanti Car Loans,text_or_counterparty,regex,avanti\s*(?:car|auto)\s*loans,*,*,*,,90,1
CL038,is_car_loan,Branded Financial Services,text_or_counterparty,regex,branded\s*financial\s*services,*,*,*,,90,1
CL039,is_car_loan,C1 Car Loans,text_or_counterparty,regex,c1\s*finance|c1\s*car\s*loans,*,*,*,,90,1
CL040,is_car_loan,CarCoop,text_or_counterparty,regex,carcoop,*,*,*,,90,1
CL041,is_car_loan,Coogans Vehicle Loans,text_or_counterparty,regex,coogans\s*vehicle\s*loans,*,*,*,,90,1
CL042,is_car_loan,Drive Car Finance,text_or_counterparty,regex,drive\s*car\s*finance,*,*,*,,90,1
CL043,is_car_loan,Esanda,text_or_counterparty,regex,esanda,*,*,*,,90,1
CL044,is_car_loan,Fair Go Car Loans,text_or_counterparty,regex,fair\s*go\s*car\s*loans,*,*,*,,90,1
CL045,is_car_loan,Finance Now Car Loans,text_or_counterparty,regex,finance\s*now\s*car\s*loans,*,*,*,,90,1
CL046,is_car_loan,Finance One Car Loans,text_or_counterparty,regex,finance\s*one\s*car\s*loans,*,*,*,,90,1
CL047,is_car_loan,FlexiBuy,text_or_counterparty,regex,flexibuy,*,*,*,,90,1
CL048,is_car_loan,Freedom Leisure Finance,text_or_counterparty,regex,freedom\s*leisure\s*finance,*,*,*,,90,1
CL049,is_car_loan,Gamma Duo / Gedda Money,text_or_counterparty,regex,gamma\s*duo|gedda\s*money|gedda,*,*,*,,90,1
CL050,is_car_loan,Geneva Vehicle Finance,text_or_counterparty,regex,geneva\s*(?:vehicle\s*finance|car\s*loans),*,*,*,,90,1
CL051,is_car_loan,Harmoney Vehicle Loan,text_or_counterparty,regex,harmoney\s*(?:vehicle|car)\s*loan,*,*,*,,90,1
CL052,is_car_loan,Holden Financial,text_or_counterparty,regex,holden\s*financial,*,*,*,,90,1
CL053,is_car_loan,Hyundai Capital,text_or_counterparty,regex,hyundai\s*capital,*,*,*,,90,1
CL054,is_car_loan,Jacaranda Car Loans,text_or_counterparty,regex,jacaranda\s*car\s*loans,*,*,*,,90,1
CL055,is_car_loan,John Hughes Finance,text_or_counterparty,regex,john\s*hughes\s*finance,*,*,*,,90,1
CL056,is_car_loan,Kiwi Auto Finance,text_or_counterparty,regex,kiwi\s*auto\s*finance,*,*,*,,90,1
CL057,is_car_loan,Latitude Motor Finance,text_or_counterparty,regex,latitude\s*(?:motor|car)\s*finance,*,*,*,,90,1
CL058,is_car_loan,Liberty Car Loans,text_or_counterparty,regex,liberty\s*car\s*loans,*,*,*,,90,1
CL059,is_car_loan,Metro Finance,text_or_counterparty,regex,metro\s*finance,*,*,*,,90,1
CL060,is_car_loan,Money3 Car Loans,text_or_counterparty,regex,money3\s*car\s*loans,*,*,*,,90,1
CL061,is_car_loan,MONEYME Car Loan,text_or_counterparty,regex,moneyme\s*car\s*loan|autopay,*,*,*,,90,1
CL062,is_car_loan,NOW Finance Car Loans,text_or_counterparty,regex,now\s*finance\s*(?:car|vehicle)\s*loans,*,*,*,,90,1
CL063,is_car_loan,Pepper Car Loans,text_or_counterparty,regex,pepper\s*(?:car\s*loans|ev\s*loan),*,*,*,,90,1
CL064,is_car_loan,Plenti Car Loans,text_or_counterparty,regex,plenti\s*car\s*loans|ratesetter,*,*,*,,90,1
CL065,is_car_loan,RAA Finance,text_or_counterparty,regex,raa\s*finance,*,*,*,,90,1
CL066,is_car_loan,RAC Finance,text_or_counterparty,regex,rac\s*finance,*,*,*,,90,1
CL067,is_car_loan,Right Road Finance,text_or_counterparty,regex,right\s*road\s*finance,*,*,*,,90,1
CL068,is_car_loan,Stratton Finance,text_or_counterparty,regex,stratton\s*finance,*,*,*,,90,1
CL069,is_car_loan,Trinity Auto Finance,text_or_counterparty,regex,trinity\s*auto\s*finance,*,*,*,,90,1
CL070,is_car_loan,UDC Finance,text_or_counterparty,regex,udc\s*finance,*,*,*,,90,1
CL071,is_car_loan,Wisr Car Loans,text_or_counterparty,regex,wisr\s*car\s*loans,*,*,*,,90,1
CL072,is_car_loan,Yamaha Motor Finance,text_or_counterparty,regex,yamaha\s*motor\s*finance,*,*,*,,90,1
HL044,is_home_loan,Police Bank Home Loan,text_or_counterparty,regex,pol\s*hl,*,*,*,,90,1
HL045,is_home_loan,Police Bank Home Loan,text_or_counterparty,regex,pol\s*home\s*loan,*,*,*,,90,1
HL039,is_home_loan,Firstmac,text_or_counterparty,regex,firstmac,*,*,*,,90,1
HL040,is_home_loan,Loans.com.au,text_or_counterparty,regex,loanscomau,*,*,*,,90,1
HL041,is_home_loan,State Custodians,text_or_counterparty,regex,statecustodians,*,*,*,,90,1
HL042,is_home_loan,Tiimely Home,text_or_counterparty,regex,tiimelyhome,*,*,*,,90,1
HL043,is_home_loan,Unloan,text_or_counterparty,regex,unloan,*,*,*,,90,1
CL074,is_car_loan,Car Finance Australia,text_or_counterparty,regex,carfinanceaustralia,*,*,*,,90,1
CL075,is_car_loan,Dealer Finance,text_or_counterparty,regex,dealerfinance,*,*,*,,90,1
