rule_name,category,pattern,match_type,confidence,counterparty,source
rental_rent,Rent,RENTAL,keyword,0.75,,rule
tenancy_rent,Rent,TENANCY,keyword,0.85,,rule
landlord_rent,Rent,LANDLORD,keyword,0.85,,rule
property_management_rent,Rent,PROPERTY MANAG,keyword,0.85,,rule
real_estate_rent,Rent,REAL ESTATE,keyword,0.80,,rule
real_es_rent,Rent,REAL ES,keyword,0.80,,rule
realty_rent,Rent,REALTY,keyword,0.80,,rule
owners_corp_rent,Rent,OWNERS CORP,keyword,0.85,,rule
rent_word,Rent,RENT,keyword,0.90,,rule
strata_rent,Rent,STRATA,keyword,0.80,,rule
tenant_ref_rent,Rent,TEN[0-9],regex,0.75,,rule
estate_agent_rent,Rent,ESTATE AGENT,keyword,0.85,,rule
housing_rent,Rent,HOUSING,keyword,0.80,,rule
body_corp_rent,Rent,BODY CORP,keyword,0.85,,rule
body_corporate_rent,Rent,BODY CORPORATE,keyword,0.85,,rule
Gray & Lewis First National,Rent,GRAY LEWIS FIRST NATIONAL,keyword,0.95,Gray & Lewis First National,institution
Mt Buller Mountain Locker,Rent,MT BULLER MOUNTAIN LOCKER,keyword,0.95,Mt Buller Mountain Locker,institution
Centacare Evolve Housing,Rent,CENTACARE EVOLVE HOUSING,keyword,0.95,Centacare Evolve Housing,institution
First National Real Estate Gladesville,Rent,FIRST GLADSVILL|FIRST NATIONAL REAL ESTATE GLADESVILLE,keyword,0.95,First National Real Estate Gladesville,institution
Abacus Storage,Rent,ABACUS STORAGE,keyword,0.95,Abacus Storage,institution
Richardson & Wrench Caboolture,Rent,RICHARDSON WRENCH CABOOLTURE|RICHARDSON AND WRENCH CABCABOOLTURE,keyword,0.95,Richardson & Wrench Caboolture,institution
Brisbane Apartment Management,Rent,BRISBANE APARTMENT MANAGE|BRISBANE APARTMENT MANAGEMENT,keyword,0.95,Brisbane Apartment Management,institution
One Agency Campbelltown,Rent,ONE AGENCY CAMPBELLTOWN,keyword,0.95,One Agency Campbelltown,institution
National Storage Hervey Bay,Rent,NATIONAL STORAGE HERVEY B|NATIONAL STORAGE HERVEY BAY,keyword,0.95,National Storage Hervey Bay,institution
