pattern_id,category,pattern,description
G001,gambling,\bsportsbet\b,"Sportsbet"
G002,gambling,\bladbrokes\b,"Ladbrokes"
G003,gambling,\balventa\b,"Alventa (Malta gambling processor)"
G004,gambling,\bfrvn\b,"FRVN (Limassol gambling, Cyprus)"
G005,gambling,\bvxtrx\b,"VXTRX (Limassol gambling, Cyprus)"
G006,gambling,\bbet365\b,"Bet365"
G007,gambling,\bbetfair\b,"Betfair"
G008,gambling,\bpointsbet\b,"PointsBet"
G009,gambling,\bunibet\b,"UniBet"
G010,gambling,\bplayup\b,"PlayUp"
G011,gambling,\bbluebet\b,"BlueBet"
G012,gambling,\bcrownbet\b,"CrownBet"
G013,gambling,\bdraftkings\b,"DraftKings"
G014,gambling,\btab\b,"TAB sports betting"
G015,gambling,\bclassicbet\b,"ClassicBet"
G016,gambling,\bbetchain\b,"BetChain"
G017,gambling,\bpalmerbet\b,"PalmerBet"
G018,gambling,\btopbetta\b,"TopBetta"
G019,gambling,\bmadbookie\b,"MadBookie"
G020,gambling,\btatts\b,"Tatts Group"
G021,gambling,\btattsbet\b,"TattsBet"
G022,gambling,\b(?:neds|betr)\b,"Neds/Betr"
G101,payday_lender,\b(?:afterpay|zip\s*pay|zipmoney)\b,"AfterPay / ZipPay / ZipMoney"
G102,payday_lender,\b(?:wagepay|wagetap|wage\s*advance)\b,"WagePay / WageTap / Wage Advance"
G103,payday_lender,\b(?:mypaynow|nextpayday|beforepay|press\s*pay)\b,"MyPayNow / NextPayDay / BeforePay / PressPay"
G104,payday_lender,\b(?:cash\s*converters|rapid\s*loans|cash\s*pal|cash\s*train)\b,"Cash Converters / Rapid Loans / CashPal / CashTrain"
G105,payday_lender,\b(?:nimble|moneyme|money3|cash\s*now|cash\s*n\s*go)\b,"Nimble / MoneyMe / Money3 / CashNow / CashNGo"
G106,payday_lender,\b(?:payday\s*advance|payday\s*loans|sure\s*cash|sunshine\s*loans)\b,"Payday Advance / Payday Loans / SureCash / Sunshine Loans"
G107,payday_lender,\b(?:credit\s*corp|fair\s*go\s*finance|swoosh\s*finance)\b,"Credit Corp / Fair Go Finance / Swoosh Finance"
G108,payday_lender,\b(?:spotter\s*loans?|fundo\s*loans?|jacaranda\s*finance)\b,"Spotter Loans / Fundo Loans / Jacaranda Finance"
G109,payday_lender,\b(?:flash\s*money|cash\s*stop|money\s*spot|cigno)\b,"Flash Money / Cash Stop / Money Spot / Cigno"
G110,payday_lender,\b(?:wallet\s*wizard|cash\s*converters)\b,"Wallet Wizard / Cash Converters"
G201,loan_repayment,\b(?:loan\s*repaid|loan\s*return|loan\s*repayment|wage\s*advance\s*repayment)\b,"Loan repaid/return/repayment"
G202,bnpl,\b(?:pay\s*in\s*4|payin4)\b,"PayPal Pay in 4 (BNPL)"
G301,eftpos,\beftpos\b,"EFTPOS transaction"
G302,eftpos,\bmiscellaneous\s+debit\s+v\d,"Miscellaneous Debit"
G401,atm,\bwithdrawal\s+at\b.*\batm\b,"Withdrawal at ATM"
G402,atm,\batm\s+withdrawal\b,"ATM Withdrawal"
G501,gaming,\bnorhengame\b,"NorhenGame"
G502,gaming,\bhappyfarm\b,"HappyFarm"
G503,gaming,\bwfun\b,"WFUN"
G504,gaming,\bsmedge\b,"SMEdge"
G505,gaming,\bdragfir\b,"DragFir"
G506,gaming,\bprezzee\b,"Prezzee (gift card)"
