priority,rule_name,category,pattern,dr_cr,description
1,external_direct_debit_generic,transfer,^direct debit$,debit,"Direct Debit — generic direct debit"
2,external_transferwise_sydney,transfer,\btransferwise sydney\b,, "TransferWise Sydney"
3,external_debit_card_wise_taptap,transfer,^debit card purchase (wise|taptap send) sydney,, "Debit card purchase Wise/TapTap Send Sydney"
4,external_fast_pymt_in,transfer,^fast pymt in,, "Fast payment in"
5,external_withdrawal_westpac_cho_loan,transfer,^withdrawal mobile \d+ tfr westpac cho loan$,, "Withdrawal mobile Westpac Choice loan"
6,external_imt,transfer,^imt \d+,, "International Money Transfer (IMT)"
7,external_anz_intl_fee,transfer,\banz internet banking funds tfer\b.*\bintl[-\s]?fee\b,, "ANZ Internet Banking with INTL-FEE"
8,external_anz_mobile_payment_to_name,transfer,^anz mobile banking payment \d+ to [a-z].*$,, "ANZ mobile banking payment to name"
9,external_sav_mobile,transfer,^transfer (to|from) sav \d+ mobile#\d+$,, "Transfer to/from SAV mobile"
10,external_sav_ref,transfer,^transfer (to|from) sav \d+ ref#\d+$,, "Transfer to/from SAV ref"
11,external_sav_ref_xxx,transfer,^transfer from sav \d+xxx ref#\d+$,, "Transfer from SAV xxx ref"
12,external_anz_mbank_masked,transfer,^anz m-banking funds tfer transfer \d+ to \d+xxxxxxxx\d{4}$,, "ANZ M-Banking masked account"
13,external_statement_or_savings_account,transfer,^(statement account|savings account)$,, "Statement/Savings Account"
14,external_transfer_name_code,transfer,"^transfer (debit|credit) [a-z][a-z .'-]*[a-z] [a-z]\d{10,}$",, "Transfer with name+code"
15,external_credit_adjustment,transfer,^credit adjustment$,, "Credit Adjustment"
16,external_misc_credit_v,transfer,^miscellaneous credit v\d{4}$,, "Miscellaneous Credit V####"
17,external_payid_osko,transfer,\b(payid|osko|npp|gopayid)\b,, "PayID/Osko/NPP/GoPayID"
18,external_fast_transfer,transfer,\bfast transfer\b,, "Fast Transfer"
