priority,rule_name,category,pattern,dr_cr,description
101,external_westpac_truncated,transfer,\bwestpa\s,, "Westpac truncated text"
102,external_transferred_to_digits,transfer,"\btransferred to \d{3,6} \d+\b",, "Transferred to account digits"
103,external_sav_net,transfer,^transfer (to|from) sav \d+ net#\d+$,, "Transfer to/from SAV net#"
104,external_scheduled_cba_account,transfer,^scheduled payment to a cba account \d+ \d+$,, "Scheduled payment to CBA account"
105,external_anz_mbank_transfer_from,transfer,^anz m-banking transfer \d+ from \d+$,, "ANZ M-Banking transfer from"
106,external_ib_transfer_tfd,transfer,^ib transfer \d+ to \d{3}-\d{3}-\d+ \d+:\d+(?:am|pm) tfd$,, "IB transfer to TFD"
107,external_ib_transfer_tfc,transfer,^ib transfer \d+ from \d{3}-\d{3}-\d+ \d+:\d+(?:am|pm) tfc$,, "IB transfer from TFC"
108,external_transfer_to_cba_ac,transfer,^transfer to cba a/c commbank app\b,, "Transfer to CBA a/c CommBank App"
109,external_transfer_from_commbank,transfer,^transfer from commbank app\b,, "Transfer from CommBank App"
110,external_masked_commbank,transfer,\btransfer (to|from) xx\d{4}\b,, "Transfer to/from masked xx####"
111,external_tfd_short,transfer,^\. tfd$,, ". TFD short"
112,external_tfc_short,transfer,^\. tfc$,, ". TFC short"
113,external_me_tfd,transfer,^me tfd$,, "ME TFD"
114,external_x_tfc,transfer,^x tfc$,, "X TFC"
115,external_save_tfc,transfer,^save tfc$,, "Save TFC"
116,external_j_tfd,transfer,^j tfd$,, "J TFD"
117,external_b_tfd,transfer,^b tfd$,, "B TFD"
118,external_b_tfc,transfer,^b tfc$,, "B TFC"
119,external_n_tfd,transfer,^n tfd$,, "N TFD"
120,external_h_tfd,transfer,^h tfd$,, "H TFD"
121,external_automatic_payment,transfer,^automatic payment$,, "Automatic Payment"
122,external_periodic_transfer,transfer,^periodic transfer from\b,, "Periodic transfer from"
123,external_rtgs,transfer,^rtgs funds credit$,, "RTGS Funds Credit"
124,external_transfer_name_code_relaxed,transfer,"^transfer (debit|credit) (?!online )[a-z].*?[a-z]\d{10,}",, "Transfer name+code relaxed"
125,external_pending_mobile_banking,transfer,^pending.*mobile phone banking funds transfer,,"PENDING Mobile Phone Banking Funds Transfer"
126,external_pending_anz_mobile,transfer,^pending.*anz mobile banking payment,,"PENDING ANZ Mobile Banking Payment"
127,external_pending_netbank,transfer,^pending.*netbank transfer,,"PENDING NetBank Transfer"
128,external_withdrawal_mobile_bpay,transfer,\bwithdrawal mobile\b.*\bbpay\b,debit,"Withdrawal Mobile BPAY"
129,external_bpay_bill_payment,transfer,\bbpay bill payment\b,debit,"BPAY Bill Payment"
130,external_periodical_payment,transfer,\bperiodical payment\b,debit,"Periodical Payment"
131,external_direct_debit_in_text,transfer,\bdirect debit\b,debit,"Direct Debit anywhere in text (receipt format)"
132,external_paypal_topup,transfer,\bpaypal.*\badd\s+to\s+bal\b,,"PayPal Add to Balance top-up"
133,external_wise_card_broad,transfer,^wise\b.*\b(?:card xx\d{4}|last 4 card digits \d{4}),,"Wise card transaction (any city/country)"
134,external_wise_card_order,transfer,\bwise\b.*\bcard\s+order\b,,"Wise card order purchase"
135,external_wise_debit_card_purchase,transfer,^debit card purchase.*\bwise\b,,"Debit card purchase at Wise"
136,external_misc_debit_western_union,transfer,\bmiscellaneous\s+debit.*\bwestern\s+union\b,,"Miscellaneous Debit Western Union"
137,external_eftpos_wu_abbrev,transfer,\beftpos.*\bwu\b,,"EFTPOS WU (Western Union abbreviated)"
138,external_dgs_drawings_acc,transfer,\btransfer from dgs drawings acc\b,,"Transfer from DGS Drawings Account"
139,external_upbank_savings_transfer,transfer,\btransfer\s+(?:from|to)\s+(?:emergency\s+funds|home\s+deposit|2up\s+spending)\b,,"Upbank savings bucket transfer (Emergency/Home Deposit/2Up)"
140,external_careflight_payment,transfer,\bpayment by authority to careflight\b,,"Payment by authority to Careflight"
