priority,rule_name,pattern,dr_cr,description
1,internal_deposit_westpac_cho,^deposit online \d+ tfr westpac cho,credit,"Deposit online Westpac Choice"
2,internal_deposit_westpac_lif,^deposit online \d+ tfr westpac lif,credit,"Deposit online Westpac Life"
3,internal_deposit_westpac_esa,^deposit online \d+ tfr westpac esa,credit,"Deposit online Westpac eSaver"
4,internal_commbank_from_suffix,^transfer from xx\d{4} commbank app (allowance|rent|savings|transfer|food|bill|shop)$,, "Transfer from masked CommBank App with suffix"
5,internal_commbank_from_value_date,^transfer from xx\d{4} commbank app value date: \d+/\d+/\d+$,, "Transfer from masked CommBank App with value date"
6,internal_phrase,\binternal transfer\b,, "Internal Transfer phrase"
7,internal_linked_acc,\b(linked acc|linked account|acc trns|acc transfer)\b,, "Linked account / acc transfer phrases"
8,internal_westpac_family,\b(tfr westpac|westpac lif|maximiser)\b,, "Westpac account-type indicators"
9,internal_anz_funds_tfer,\banz internet banking funds tfer\b,, "ANZ Internet Banking funds transfer"
10,internal_anz_mbank_to_long,^anz m-banking funds tfer transfer \d+ to \d+$,, "ANZ M-Banking transfer to account"
11,internal_anz_mbank_from_long,^anz m-banking funds tfer transfer \d+ from \d+$,, "ANZ M-Banking transfer from account"
12,internal_ib_tfr_to_long,^ib tfr \d+ to \d+$,, "IB TFR to account"
13,internal_mb_transfer_from,^mb transfer from \d+$,, "MB transfer from account"
14,internal_mb_transfer_to,^mb transfer to \d+$,, "MB transfer to account"
15,internal_orange_everyday_to,^internal transfer - receipt \d+ - to orange everyday$,, "Internal transfer to Orange Everyday"
16,internal_orange_everyday_from,^internal transfer - receipt \d+ - from orange everyday$,, "Internal transfer from Orange Everyday"
17,internal_savings_maximiser,^internal transfer - internal transfer - receipt \d+ savings maximiser \d+$,, "Internal transfer Savings Maximiser"
18,internal_ibank_mobile_banking,^ibank trf ref: \d+ transferred to \d+ mobile banking$,, "IBank TRF mobile banking"
19,internal_internet_banking,"\binternet withdrawal\b.*\bto \d{7,}\b",, "Internet withdrawal to own account"
20,internal_internet_transfer_credit,^internet transfer credit from \d+ ref no \d+$,, "Internet transfer credit from account"
21,internal_internet_transfer_debit,^internet transfer debit to \d+ reference no \d+$,, "Internet transfer debit to account"
22,internal_orange_everyday,\borange everyday\b,, "ING Orange Everyday account transfer (round-up / to-from own account)"
